town,age,job,married,education,arrears,housing,target
Bristol,39,management,married,tertiary,no,no,yes
Basildon,53,housemaid,married,primary,no,no,yes
Blackburn,79,retired,divorced,primary,no,no,yes
Oldham,43,services,single,secondary,no,yes,no
Middlesbrough,35,technician,single,secondary,no,no,yes
Poole,24,student,single,secondary,no,no,yes
Stockport,49,blue-collar,divorced,primary,no,yes,yes
Wolverhampton,54,self-employed,single,tertiary,no,no,yes
Eastbourne,29,services,married,primary,no,no,no
Weston-super-Mare,56,blue-collar,single,secondary,no,yes,no
London,47,blue-collar,married,primary,no,no,no
Bristol,33,blue-collar,married,secondary,no,yes,no
Sheffield,41,blue-collar,married,secondary,no,yes,no
Leeds,41,blue-collar,married,secondary,no,yes,yes
Raleigh,44,admin.,single,secondary,no,no,yes
Cambridge,29,technician,single,secondary,no,no,yes
Kingston upon Hull,53,blue-collar,married,secondary,no,yes,no
Bristol,56,unemployed,single,primary,no,no,yes
Milton Keynes,32,management,married,tertiary,no,yes,no
Nottingham,42,admin.,married,primary,no,yes,no
Woking,41,technician,divorced,secondary,no,yes,no
Birmingham,66,management,married,secondary,no,no,yes
Bristol,37,management,married,tertiary,no,no,yes
Basingstoke,34,blue-collar,single,secondary,no,no,no
Oxford,55,admin.,married,secondary,no,no,yes
Middlesbrough,29,technician,single,tertiary,no,yes,yes
Luton,56,unemployed,married,secondary,no,yes,no
Manchester,47,management,married,tertiary,no,no,no
Bristol,56,services,divorced,secondary,no,yes,no
Glasgow,50,blue-collar,married,unknown,no,yes,no
Birmingham,48,services,divorced,primary,no,no,no
Worthing,36,unemployed,divorced,secondary,no,yes,no
Glasgow,42,technician,married,secondary,no,no,no
Milton Keynes,40,technician,married,secondary,no,no,no
Darlington,35,admin.,single,secondary,no,yes,no
Sunderland,38,self-employed,married,secondary,no,yes,no
Birmingham,27,management,single,tertiary,no,yes,yes
Birkenhead,35,entrepreneur,married,secondary,no,no,yes
Blackburn,37,management,married,tertiary,no,no,yes
Chelmsford,37,services,married,secondary,no,no,no
Middlesbrough,32,blue-collar,married,secondary,no,yes,no
Cardiff,33,management,married,tertiary,no,no,yes
Bristol,27,blue-collar,single,secondary,no,no,no
Birmingham,37,management,married,tertiary,no,yes,no
Cheltenham,58,retired,divorced,tertiary,no,yes,no
Chelmsford,44,technician,single,secondary,no,no,yes
Portsmouth,35,management,single,tertiary,no,yes,yes
Bath,18,student,single,unknown,no,no,yes
Chester,30,blue-collar,divorced,secondary,yes,yes,no
Birmingham,40,technician,married,secondary,no,yes,no
Bradford,53,management,married,tertiary,no,yes,no
Glasgow,59,admin.,married,secondary,no,no,yes
Eastbourne,28,self-employed,married,secondary,no,yes,yes
Coventry,38,unknown,single,tertiary,no,no,yes
Liverpool,31,management,single,tertiary,no,no,no
Bournemouth,39,admin.,married,primary,no,yes,no
London,41,blue-collar,married,primary,no,yes,no
Dundee,26,technician,single,secondary,no,yes,no
Cardiff,51,technician,married,secondary,no,no,yes
County Down,50,admin.,divorced,secondary,no,no,no
Liverpool,33,management,single,tertiary,no,yes,yes
Exeter,55,services,married,secondary,no,yes,no
Dundee,53,management,married,unknown,no,yes,no
Manchester,58,technician,married,secondary,no,no,yes
Cambridge,33,management,married,tertiary,no,no,yes
Derby,42,blue-collar,married,unknown,no,yes,no
Derby,29,unemployed,single,unknown,no,no,no
Swindon,55,housemaid,married,primary,no,no,no
Stockport,31,self-employed,single,secondary,no,no,no
London,33,management,married,tertiary,no,no,yes
Poole,44,services,divorced,secondary,no,yes,no
London,30,services,single,secondary,no,yes,no
Edinburgh,46,admin.,divorced,secondary,no,yes,no
Worthing,57,management,married,primary,no,no,no
Glasgow,46,admin.,married,secondary,no,no,no
Bristol,75,retired,divorced,secondary,no,no,no
Eastbourne,32,blue-collar,single,tertiary,no,yes,no
Hartlepool,31,student,single,tertiary,no,no,no
Glasgow,65,retired,divorced,secondary,no,no,no
Manchester,43,unemployed,married,secondary,no,yes,no
Liverpool,28,management,single,secondary,no,no,no
Gateshead,54,technician,married,secondary,no,no,yes
Rochdale,37,self-employed,married,secondary,no,yes,no
Reading,30,admin.,single,secondary,no,no,no
Hemel Hempstead,48,housemaid,married,secondary,no,no,yes
Wakefield,41,services,married,unknown,yes,no,yes
Belfast,29,admin.,single,tertiary,no,no,no
Birmingham,73,retired,married,tertiary,no,no,yes
Worcester,55,management,married,unknown,no,no,no
Newport,48,self-employed,single,unknown,no,no,no
Manchester,78,unknown,married,unknown,no,no,yes
Warrington,37,management,single,tertiary,no,no,no
London,75,retired,married,primary,no,no,yes
Bristol,38,technician,married,secondary,no,yes,yes
Liverpool,54,entrepreneur,married,secondary,no,no,no
Newport,41,management,married,tertiary,no,yes,no
Rochdale,55,retired,married,secondary,no,no,no
Sutton Coldfield,48,admin.,married,secondary,no,no,yes
Edinburgh,30,management,single,tertiary,no,yes,yes
Birmingham,40,services,single,secondary,no,no,no
Solihull,36,admin.,divorced,secondary,no,yes,no
Sutton Coldfield,48,admin.,divorced,secondary,no,no,yes
Telford,34,services,single,secondary,no,yes,yes
Bristol,25,admin.,single,secondary,no,no,yes
Northampton,54,blue-collar,married,secondary,no,no,yes
Portsmouth,28,blue-collar,married,primary,no,yes,no
Eastbourne,34,technician,married,secondary,no,yes,no
Exeter,35,entrepreneur,single,tertiary,no,yes,no
Sale,31,services,married,secondary,no,yes,no
Chesterfield,40,blue-collar,married,secondary,no,no,yes
London,57,retired,married,primary,no,no,no
